"concept","conceptLabel_en","conceptLabel_de","conceptLabel_fr","conceptDef_en","conceptDef_de","conceptDef_fr","altLabel_en","altLabel_de","altLabel_fr","includesLabel_en","includesLabel_de","includesLabel_fr","isUseOfLabel_en","isUseOfLabel_de","isUseOfLabel_fr","producesLabel_en","producesLabel_de","producesLabel_fr","isProducedByLabel_en","isProducedByLabel_de","isProducedByLabel_fr"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Oxytenanthera","Oxytenanthera","Oxytenanthera","structural crops","Baustoff liefernde Pflanze","plante pour construction","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Oxytenanthera","Oxytenanthera","Oxytenanthera","ornamental monocarps","monokarpe Zierpflanze","plante ornementale monocarpique","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Phyllostachys","Phyllostachys","Phyllostachys","structural crops","Baustoff liefernde Pflanze","plante pour construction","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Phyllostachys","Phyllostachys","Phyllostachys","ornamental monocarps","monokarpe Zierpflanze","plante ornementale monocarpique","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Pleioblastus","Pleioblastus","Pleioblastus","structural crops","Baustoff liefernde Pflanze","plante pour construction","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Pleioblastus","Pleioblastus","Pleioblastus","ornamental monocarps","monokarpe Zierpflanze","plante ornementale monocarpique","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Poaceae","Poaceae","Poaceae","structural crops","Baustoff liefernde Pflanze","plante pour construction","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Poaceae","Poaceae","Poaceae","ornamental monocarps","monokarpe Zierpflanze","plante ornementale monocarpique","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Sasa","Sasa","Sasa","structural crops","Baustoff liefernde Pflanze","plante pour construction","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Sasa","Sasa","Sasa","ornamental monocarps","monokarpe Zierpflanze","plante ornementale monocarpique","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
